Zipcode,Delivery_devices_last_10_Febr,Delivery_devices_first_10_March,Delivery_devices_middle_10_March,Delivery_devices_last_10_March
60005,0.02595382746051032806804374241,0.02888346026727978157781290415,0.02647471152809231101046047665,0.02175131741226594909743244758
60103,0.02261246090930959826798171758,0.02051342163872934005392099402,0.01803354770271166213617980508,0.01457987838584853510226644555
60155,0.04174270072992700729927007299,0.03225806451612903225806451613,0.03243313089546453030107248999,0.02673280970097836571586054844
60162,0.02823138665928591198450041517,0.03244495944380069524913093859,0.02892140183735964613814222525,0.02068252326783867631851085832
60302,0.03432930705657978385251112524,0.03333528962967310288162450848,0.03158775538665365037305627223,0.03165272439520687316301153064
60471,0.03119847812301838934686112873,0.02806059101067792401291283834,0.02517878426698450536352800954,0.01894301177968799745304043298
60501,0.02834933699131229995427526292,0.02739297989792729923966253515,0.02972242692213215426185212479,0.02545691906005221932114882507
60525,0.02599418040737148399612027158,0.02720127174777002561158703524,0.02628386575010109179134654266,0.02388059701492537313432835821
60601,0.01883656509695290858725761773,0.01810912511759172154280338664,0.01739386792452830188679245283,0.01834239130434782608695652174
60004,0.02220218640820466584018933844,0.02087326943556975505857294995,0.01847760594496886925085358506,0.01444963875903102422439439014
60056,0.03010268673512449008299338866,0.03002890664852916170719265431,0.02799224128094930209561480242,0.02071480086545396265726420386
60089,0.03007435356786150260792364887,0.03110021179355701705495485453,0.02533039647577092511013215859,0.02106472615855993872079662964
60203,0.03425012973533990659055526725,0.03740233124119380043550659664,0.02957843814789219073946095370,0.02886475226900758815652432674
60426,0.04407987405750269284944900157,0.04393927223070126114547353201,0.03961495742317660125879303961,0.03248463564530289727831431080
60452,0.02467130311183308797400883294,0.02549985511445957693422196465,0.02372485831759084342704744972,0.01557777261102069286212508719
60476,0.03630705394190871369294605809,0.03892215568862275449101796407,0.05800464037122969837587006961,0.01513387660069848661233993015
60482,0.03779264214046822742474916388,0.04048711054879013126680373241,0.03818149529390871958799502753,0.02684437769851698892434766285
60616,0.03608036080360803608036080361,0.03452642804772378857561820969,0.03520071899340922708208508089,0.03083313363687195462896397476
60628,0.05332523534770725781961737018,0.05125893876569917673216753801,0.05127509495387954422137818774,0.03972465223003011616234045604
60632,0.03997667298440005831753899985,0.03875329376380719171701578345,0.03562302720577183225612505637,0.02760686789292272009792867957
60634,0.03236702423815003155042500278,0.03215445432726245940985458139,0.03275621890547263681592039801,0.02417991207304700710179235712
60642,0.03151693667157584683357879234,0.02866562872057880758311200659,0.03160392622155107323913277964,0.03136882129277566539923954373
60644,0.04531430775163902815271885847,0.04487034949267192784667418264,0.04263214670981661272923408846,0.03405116878336094238910362599
60647,0.03502763758711848113434270608,0.03605424245086840640834138769,0.03758668051321563766707982982,0.03295207973226435217535213858
60651,0.04057648787072696232183269147,0.03776322643053798645732569388,0.03842094152417141650833861094,0.02868834030307118125815009668
60655,0.03038884653087898921686090840,0.03109555189456342668863261944,0.03153652981370087017461893360,0.02584883649536440105605697796
60656,0.04048665089557282865833051707,0.04074413729857199004323332897,0.03664921465968586387434554974,0.02514008783886112373163713464
60707,0.03838495106554251578189213236,0.03800172548375169467154184298,0.03285780027611596870685687989,0.02720283855706682436428149024
60016,0.03125384520733357942660268242,0.02950161473335078991009862966,0.02710045056983832494036575669,0.02134847112906596085533189385
60022,0.03253796095444685466377440347,0.03148897885739991003148897886,0.02518703241895261845386533666,0.02814207650273224043715846995
60029,0.02346546466922974943656370145,0.02591221575885774722369116869,0.02518818760856977417486971627,0.02193388940376892184121099784
